name,a,b,c,d,freq_min_ghz,freq_max_ghz,notes
concrete,2.401000e-09,0.000000,0.000000e+00,0.000000,0.0262,7.0,"Z = 8.40e+06 rayls; |R| = 0.999902"
glass,8.960770e-10,0.000000,0.000000e+00,0.000000,0.0262,7.0,"Z = 1.38e+07 rayls; |R| = 0.999940"
gypsum_board,9.295723e-08,0.000000,0.000000e+00,0.000000,0.0262,7.0,"Z = 1.35e+06 rayls; |R| = 0.999390"
wood_oak,2.160900e-08,0.000000,0.000000e+00,0.000000,0.0262,7.0,"Z = 2.80e+06 rayls; |R| = 0.999706"
plywood,7.529536e-08,0.000000,0.000000e+00,0.000000,0.0262,7.0,"Z = 1.50e+06 rayls; |R| = 0.999451"
steel,7.999402e-11,0.000000,0.000000e+00,0.000000,0.0262,7.0,"Z = 4.60e+07 rayls; |R| = 0.999982"
brick,4.034602e-09,0.000000,0.000000e+00,0.000000,0.0262,7.0,"Z = 6.48e+06 rayls; |R| = 0.999873"
marble,1.609370e-09,0.000000,0.000000e+00,0.000000,0.0262,7.0,"Z = 1.03e+07 rayls; |R| = 0.999920"
foam_light_melamine,3.120320e-01,0.813487,1.914459e-02,0.811744,0.0262,7.0,"σ_f = 10000 rayls/m; Delany-Bazley model"
foam_medium_acoustic,1.959630e-01,0.991202,2.291639e-02,0.900601,0.0262,7.0,"σ_f = 20000 rayls/m; Delany-Bazley model"
fiberglass_dense,1.098006e-01,1.150540,2.591043e-02,0.980270,0.0262,7.0,"σ_f = 40000 rayls/m; Delany-Bazley model"
mineral_wool,1.416263e-01,1.087533,2.479737e-02,0.948766,0.0262,7.0,"σ_f = 30000 rayls/m; Delany-Bazley model"
curtain_heavy_velour,3.541677e-01,0.754913,1.786033e-02,0.782456,0.0262,7.0,"σ_f = 8000 rayls/m; Delany-Bazley model"
curtain_light_cotton,5.481664e-01,0.508031,1.239623e-02,0.659015,0.0262,7.0,"σ_f = 3000 rayls/m; Delany-Bazley model"
carpet_thick,1.959630e-01,0.991202,2.291639e-02,0.900601,0.0262,7.0,"σ_f = 20000 rayls/m; Delany-Bazley model"
carpet_thin,3.120320e-01,0.813487,1.914459e-02,0.811744,0.0262,7.0,"σ_f = 10000 rayls/m; Delany-Bazley model"
couch_fabric,5.631814e-02,0.754900,1.627762e-02,1.362380,0.0262,7.0,"Empirical fit from α coeffs; d_eff = 0.25 m"
couch_leather,1.298790e-02,0.163517,8.299422e-03,1.420873,0.0262,7.0,"Empirical fit from α coeffs; d_eff = 0.25 m"
mattress,4.781365e-02,0.740408,1.503511e-02,1.433076,0.0262,7.0,"Empirical fit from α coeffs; d_eff = 0.20 m"
chair_upholstered,2.859024e-02,0.516430,1.252823e-02,1.389168,0.0262,7.0,"Empirical fit from α coeffs; d_eff = 0.20 m"
chair_wood,1.000000e-02,0.000000,9.865830e-04,1.190290,0.0262,7.0,"Empirical fit from α coeffs; d_eff = 0.10 m"
table_wood,1.000000e-02,0.000000,1.390434e-03,1.000000,0.0262,7.0,"Empirical fit from α coeffs; d_eff = 0.05 m"
bookshelf_filled,1.410521e-02,0.227530,9.549251e-03,1.290898,0.0262,7.0,"Empirical fit from α coeffs; d_eff = 0.30 m"
person_standing,2.194544e-02,0.290706,1.222646e-02,1.169592,0.0262,7.0,"Empirical fit from α coeffs; d_eff = 0.30 m"
person_seated,1.686732e-02,0.208933,1.080403e-02,1.197852,0.0262,7.0,"Empirical fit from α coeffs; d_eff = 0.25 m"
audience_dense,1.076587e-01,0.675559,2.027194e-02,1.202193,0.0262,7.0,"Empirical fit from α coeffs; d_eff = 0.30 m"
audience_sparse,3.795013e-02,0.572608,1.471444e-02,1.264499,0.0262,7.0,"Empirical fit from α coeffs; d_eff = 0.30 m"
