name,a,b,c,d,att
air,1,0,0,0,0.0
concrete,2.401e-09,0,0,0,0.0
glass,8.96077e-10,0,0,0,0.0
gypsum_board,9.29572e-08,0,0,0,0.0
wood,2.1609e-08,0,0,0,0.0
plywood,7.52954e-08,0,0,0,0.0
steel,7.9994e-11,0,0,0,0.0
brick,4.0346e-09,0,0,0,0.0
marble,1.60937e-09,0,0,0,0.0
foam_light_melamine,0.312032,0.813487,0.0191446,0.811744,0.0
foam_medium_acoustic,0.195963,0.991202,0.0229164,0.900601,0.0
fiberglass_dense,0.109801,1.15054,0.0259104,0.98027,0.0
mineral_wool,0.141626,1.08753,0.0247974,0.948766,0.0
curtain_heavy_velour,0.354168,0.754913,0.0178603,0.782456,0.0
curtain_light_cotton,0.548166,0.508031,0.0123962,0.659015,0.0
carpet_thick,0.195963,0.991202,0.0229164,0.900601,0.0
carpet_thin,0.312032,0.813487,0.0191446,0.811744,0.0
couch_fabric,0.0563181,0.7549,0.0162776,1.36238,0.0
couch_leather,0.0129879,0.163517,0.00829942,1.42087,0.0
mattress,0.0478137,0.740408,0.0150351,1.43308,0.0
chair_upholstered,0.0285902,0.51643,0.0125282,1.38917,0.0
chair_wood,0.01,0,0.000986583,1.19029,0.0
table_wood,0.01,0,0.00139043,1,0.0
bookshelf_filled,0.0141052,0.22753,0.00954925,1.2909,0.0
person_standing,0.0219454,0.290706,0.0122265,1.16959,0.0
person_seated,0.0168673,0.208933,0.010804,1.19785,0.0
audience_dense,0.107659,0.675559,0.0202719,1.20219,0.0
audience_sparse,0.0379501,0.572608,0.0147144,1.2645,0.0
